                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7336,                 2.6021,                 2.2822,                0.27542,                0.32756,                0.25228,                0.11487,                 1.9353,                 2.9755,                 2.6124,               0.004555,               0.004555,               0.004555
                     35,                 1.7254,                 2.5885,                  2.262,                0.32972,                0.31105,                0.28307,                0.13512,                 1.8805,                 2.7548,                 2.6118,                0.00439,                0.00439,                0.00439
                     36,                 1.6952,                 2.5046,                 2.2485,                0.34421,                 0.3843,                0.31899,                 0.1513,                 1.8322,                 2.7846,                  2.576,               0.004225,               0.004225,               0.004225
                     37,                 1.7145,                 2.5127,                 2.2597,                0.24267,                0.24261,                0.16998,                0.06883,                 2.1324,                 3.5239,                 2.7724,                0.00406,                0.00406,                0.00406
                     38,                 1.6954,                  2.571,                 2.2357,                0.38305,                0.34556,                0.30436,                0.14869,                 2.0042,                 2.7066,                 2.7127,               0.003895,               0.003895,               0.003895
                     39,                 1.6559,                 2.5069,                 2.2171,                0.30339,                0.39347,                0.29803,                0.13669,                 1.9402,                 2.8977,                 2.5601,                0.00373,                0.00373,                0.00373
                     40,                 1.6887,                 2.4626,                 2.2142,                0.37932,                0.33509,                0.31096,                0.14788,                 1.8639,                 2.7502,                 2.5314,               0.003565,               0.003565,               0.003565
                     41,                  1.676,                 2.4775,                 2.2214,                0.27903,                0.35163,                0.29471,                0.14137,                 1.8326,                  2.684,                 2.5039,                 0.0034,                 0.0034,                 0.0034
                     42,                 1.6493,                 2.4118,                 2.1809,                  0.439,                0.34827,                0.33913,                0.16636,                 1.8079,                 2.7168,                 2.4629,               0.003235,               0.003235,               0.003235
                     43,                 1.6848,                 2.4178,                 2.2009,                0.31928,                0.37604,                 0.2873,                0.13769,                 1.9249,                 2.8587,                   2.51,                0.00307,                0.00307,                0.00307
                     44,                 1.6346,                 2.4064,                 2.1567,                0.41677,                0.33183,                0.31794,                0.15208,                 1.9051,                 2.7273,                 2.5066,               0.002905,               0.002905,               0.002905
                     45,                  1.626,                 2.3879,                 2.1535,                0.40744,                0.38372,                0.34188,                0.16555,                 1.8619,                 2.7211,                 2.4658,                0.00274,                0.00274,                0.00274
                     46,                 1.6144,                 2.3909,                  2.145,                0.36774,                0.39273,                0.34368,                0.16781,                 1.8513,                 2.5681,                 2.4787,               0.002575,               0.002575,               0.002575
                     47,                 1.5975,                 2.3611,                 2.1493,                0.38281,                0.40727,                0.35175,                0.17596,                 1.7775,                 2.5731,                  2.453,                0.00241,                0.00241,                0.00241
                     48,                 1.5694,                 2.2913,                 2.1235,                0.45047,                0.39712,                0.38909,                0.19511,                 1.8125,                 2.5851,                   2.45,               0.002245,               0.002245,               0.002245
                     49,                 1.5789,                 2.3005,                 2.1134,                 0.4976,                0.39356,                0.39516,                0.19768,                 1.7629,                 2.4497,                 2.4095,                0.00208,                0.00208,                0.00208
                     50,                 1.5618,                 2.2312,                 2.1936,                0.42245,                0.41335,                0.35925,                0.18675,                 1.7508,                 2.6061,                 2.4236,               0.001915,               0.001915,               0.001915
                     51,                 1.5168,                 2.1551,                 2.1473,                0.44275,                0.40384,                0.38982,                0.19578,                 1.7451,                 2.5353,                 2.4322,                0.00175,                0.00175,                0.00175
                     52,                  1.559,                 2.1019,                 2.1858,                0.41497,                 0.3893,                0.35724,                0.17821,                 1.7928,                  2.631,                 2.3961,               0.001585,               0.001585,               0.001585
                     53,                 1.5282,                 2.0891,                 2.1552,                0.54081,                0.37034,                0.40214,                0.20878,                 1.7647,                 2.4609,                 2.3968,                0.00142,                0.00142,                0.00142
                     54,                 1.5106,                 2.0755,                 2.1327,                0.60086,                0.35494,                0.41441,                0.21591,                 1.7401,                 2.4823,                 2.3887,               0.001255,               0.001255,               0.001255
                     55,                 1.4918,                  2.027,                 2.1283,                0.48731,                0.39669,                0.43272,                0.23416,                 1.7449,                 2.4001,                 2.3459,                0.00109,                0.00109,                0.00109
                     56,                  1.485,                 2.0035,                 2.1153,                0.47756,                0.42062,                0.42768,                0.22636,                 1.7321,                  2.395,                 2.3714,               0.000925,               0.000925,               0.000925
                     57,                 1.4641,                 1.9951,                 2.0876,                0.44456,                0.42984,                0.43368,                0.23496,                 1.6798,                 2.3513,                 2.3485,                0.00076,                0.00076,                0.00076
                     58,                 1.4623,                 1.9369,                 2.1109,                0.56552,                 0.3846,                0.43849,                0.24145,                 1.7189,                 2.3277,                 2.3737,               0.000595,               0.000595,               0.000595
                     59,                 1.4285,                  1.979,                 2.0673,                0.55717,                0.38586,                0.44494,                0.24056,                 1.7452,                 2.3538,                 2.3955,                0.00043,                0.00043,                0.00043
